defendants,original values,cases
"TBC RETAIL GROUP, INC.","TBC RETAIL GROUP, INC.",1.0
TCF FINANCIAL CORPORATION,TCF FINANCIAL CORPORATION,1.0
TCF NATIONAL BANK,TCF NATIONAL BANK,1.0
"TD AMERITRADE, INC.","TD AMERITRADE, INC. ET AL",1.0
"TEGRITY PERSONNEL SERVICES, INC.","TEGRITY PERSONNEL SERVICES, INC. ET AL",1.0
"TENDER TEXAS HEART, LLC","TENDER TEXAS HEART, LLC ET AL",1.0
TENET HEALTHCARE CORPORATION,TENET HEALTHCARE CORPORATION ET AL,1.0
TERMINIX INTERNATIONAL COMPANY,TERMINIX INTERNATIONAL COMPANY ET AL,1.0
TERMINIX INTERNATIONAL COMPANY LIMITED PARTNERSHIP,TERMINIX INTERNATIONAL COMPANY LIMITED PARTNERSHIP,1.0
TERMINIX INTERNATIONAL INC.,TERMINIX INTERNATIONAL INC. ET AL,1.0
"TERMINIX INTERNATIONAL, CO.","TERMINIX INTERNATIONAL, CO.",1.0
TESCO CORPORATION,TESCO CORPORATION,1.0
TEXAS DE BRAZIL (TAMPA) CORPORATION,TEXAS DE BRAZIL (TAMPA) CORPORATION ET AL,2.0
"THE CHEESECAKE FACTORY RESTAURANTS, INC.","THE CHEESECAKE FACTORY RESTAURANTS, INC.",1.0
THE COCA-COLA COMPANY,THE COCA-COLA COMPANY,1.0
"THE DIRECTV GROUP, INC.","THE DIRECTV GROUP, INC. ET AL",1.0
THE FIRST AMERICAN CORPORATION,THE FIRST AMERICAN CORPORATION ET AL,1.0
"THE GAP, INC.","THE GAP, INC.",1.0
"THE GREAT AMERICAN DREAM, INC.","THE GREAT AMERICAN DREAM, INC. ET AL",1.0
"THE HARTFORD FINANCIAL SERVICES GROUP, INC.","THE HARTFORD FINANCIAL SERVICES GROUP, INC. ET AL",1.0
"THE HARTFORD FINANCIAL SERVICES GROUP, INC.","THE HARTFORD FINANCIAL SERVICES GROUP, INC. ET AL DO NOT DOCKET. CASE TRANSFERRED OUT.",1.0
THE KATHERINE GIBBS CORP.- NEW YORK,THE KATHERINE GIBBS CORP.- NEW YORK ET AL,1.0
"THE KEISER SCHOOL, INC.","THE KEISER SCHOOL, INC.",1.0
"THE KEISER SCHOOL, INC.","THE KEISER SCHOOL, INC. ET AL",1.0
THE LAW CENTER FOR CONSUMER DEBT,THE LAW CENTER FOR CONSUMER DEBT ET AL,1.0
"THE PEP BOYS-MANNY, MOE & JACK, INC.","THE PEP BOYS-MANNY, MOE & JACK, INC.",1.0
THE ROSE GROUP,THE ROSE GROUP,1.0
THE SAGE CORPORATION,THE SAGE CORPORATION,1.0
"THE SCHREIBER LAW FIRM, PLLC","THE SCHREIBER LAW FIRM, PLLC ET AL",1.0
"THE WELK GROUP, INC.","THE WELK GROUP, INC. ET AL",1.0
"THE WELLPOINT COMPANIES, INC.","THE WELLPOINT COMPANIES, INC. ET AL",1.0
THE WESTERN AND SOUTHERN LIFE INSURANCE COMPANY,THE WESTERN AND SOUTHERN LIFE INSURANCE COMPANY ET AL,1.0
THOMAS,THOMAS,1.0
"TIME WARNER CABLE, INC.","TIME WARNER CABLE, INC.",1.0
TIME WARNER INC.,TIME WARNER INC. ET AL,1.0
"TIMPANO ACQUISITION, LLC","TIMPANO ACQUISITION, LLC ET AL",1.0
"TIN, INC.","TIN, INC.",1.0
"TITLE CLOSING SERVICES, LLC","TITLE CLOSING SERVICES, LLC ET AL",1.0
TITLEMAX OF SOUTH CAROLINA INC,TITLEMAX OF SOUTH CAROLINA INC ET AL,1.0
"TOSHIBA AMERICA INFORMATION SYSTEMS, INC.","TOSHIBA AMERICA INFORMATION SYSTEMS, INC.",1.0
"TOTAL WESTERN, INC.","TOTAL WESTERN, INC. ET AL",1.0
"TOWER LOAN OF MISSISSIPPI, INC.","TOWER LOAN OF MISSISSIPPI, INC.",2.0
"TOWER LOAN OF MISSISSIPPI, INC.","TOWER LOAN OF MISSISSIPPI, INC. ET AL",1.0
TOWN AND COUNTRY CREDIT CORPORATION,TOWN AND COUNTRY CREDIT CORPORATION ET AL,1.0
"TOWN SQUARE MORTGAGE & INVESTMENTS, INC","TOWN SQUARE MORTGAGE & INVESTMENTS, INC ET AL",1.0
"TOY STORE, LLC","TOY STORE, LLC ET AL",1.0
Toyota,Toyota,2.0
TOYOTA FINANCIAL SERVICES AMERICAS CORPORATION,TOYOTA FINANCIAL SERVICES AMERICAS CORPORATION ET AL,1.0
TOYOTA MOTOR CORPORATION,TOYOTA MOTOR CORPORATION ET AL,1.0
TOYOTA MOTOR CREDIT CORPORATION,TOYOTA MOTOR CREDIT CORPORATION,1.0
"TOYOTA MOTOR ENGINEERING & MANUFACTURING NORTH AMERICA, INC.","TOYOTA MOTOR ENGINEERING & MANUFACTURING NORTH AMERICA, INC. ET AL",2.0
TOYOTA MOTOR SALES USA INC,TOYOTA MOTOR SALES USA INC ET AL,2.0
TOYOTA OF ORLANDO,TOYOTA OF ORLANDO,1.0
"TRACFONE WIRELESS, INC.","TRACFONE WIRELESS, INC.",2.0
"TRACFONE WIRELESS, INC.","TRACFONE WIRELESS, INC. ET AL",3.0
TRANSUNION CORP.,TRANSUNION CORP. ET AL,1.0
"TREMONT GROUP HOLDINGS, INC.","TREMONT GROUP HOLDINGS, INC. ET AL",1.0
Tremont Securities,Tremont Securities,1.0
TRILEGIANT CORPORATION,TRILEGIANT CORPORATION ET AL,1.0
"TRIP ASSURED, INC.","TRIP ASSURED, INC. ET AL",1.0
"TROVER SOLUTIONS, INC.","TROVER SOLUTIONS, INC. ET AL",1.0
"TRUEBLUE, INC.","TRUEBLUE, INC. ET AL",2.0
TRUGREEN LIMITED PARTNERSHIP,TRUGREEN LIMITED PARTNERSHIP,1.0
TRUGREEN LIMITED PARTNERSHIP,TRUGREEN LIMITED PARTNERSHIP ET AL,5.0
"TRULY NOLEN OF AMERICA, INC.","TRULY NOLEN OF AMERICA, INC. ET AL",1.0
TRW AUTOMOTIVE U.S. LLC,TRW AUTOMOTIVE U.S. LLC,1.0
"TT OF SAND LAKE, INC.","TT OF SAND LAKE, INC.",1.0
"TYSINGER MOTOR COMPANY, INC.","TYSINGER MOTOR COMPANY, INC.",1.0
U.S. BANCORP,U S BANCORP ET AL,1.0
U-HAUL CO. OF FLORIDA,U-HAUL CO. OF FLORIDA,2.0
U.S. BANCORP,U.S. BANCORP ET AL,1.0
"U.S. CASH ADVANCE ILLINOIS, LLC","U.S. CASH ADVANCE ILLINOIS, LLC ET AL",1.0
U.S. CREDIT MANAGEMENT INC,U.S. CREDIT MANAGEMENT INC,1.0
"U.S. GREENFIBER, LLC","U.S. GREENFIBER, LLC ET AL",1.0
"UBER TECHNOLOGIES, INC.","UBER TECHNOLOGIES, INC.",2.0
"UBER TECHNOLOGIES, INC.","UBER TECHNOLOGIES, INC. ET AL",1.0
UBS FINANCIAL SERVICES INC.,UBS FINANCIAL SERVICES INC.,1.0
UBS FINANCIAL SERVICES INC.,"UBS FINANCIAL SERVICES, INC.",1.0
UBS FINANCIAL SERVICES INC.,"UBS FINANCIAL SERVICES, INC. ET AL",1.0
UBS WEALTH MANAGEMENT AMERICAS,UBS WEALTH MANAGEMENT AMERICAS ET AL,1.0
UNION SECURITY LIFE INSURANCE COMPANY,UNION SECURITY LIFE INSURANCE COMPANY,1.0
"UNITED HEALTHCARE SERVICES, INC.","UNITED HEALTHCARE SERVICES, INC.",2.0
"UNITED HEALTHCARE SERVICES, INC.","UNITED HEALTHCARE SERVICES, INC. ET AL",1.0
"UNITED MARKETING GROUP, LLC","UNITED MARKETING GROUP, LLC ET AL",2.0
"UNITED PARCEL SERVICE, INC.","UNITED PARCEL SERVICE, INC. ET AL",1.0
"UNITED HEALTHCARE SERVICES, INC.",UNITEDHEALTH GROUP ET AL,1.0
"UNITED HEALTHCARE SERVICES, INC.",UNITEDHEALTH GROUP INCORPORATED,1.0
"UNITED HEALTHCARE SERVICES, INC.",UNITEDHEALTH GROUP INCORPORATED ET AL,1.0
UNIZAN BANK,UNIZAN BANK ET AL,1.0
U.S. BANCORP,US BANCORP ET AL,1.0
US BANCORP INVESTMENTS INC,US BANCORP INVESTMENTS INC ET AL,1.0
USAA SAVINGS BANK,USAA SAVINGS BANK ET AL.,1.0
UTILIMAP CORP.,UTILIMAP CORP.,1.0
VAIL RESORTS DEVELOPMENT COMPANY,VAIL RESORTS DEVELOPMENT COMPANY ET AL,1.0
VALERO REFINING COMPANY - CALIFORNIA,VALERO REFINING COMPANY - CALIFORNIA ET AL,1.0
"VALET WASTE, INC.","VALET WASTE, INC.",1.0
VAN RU CREDIT CORPORATION,VAN RU CREDIT CORPORATION,1.0
VAN RU CREDIT CORPORATION,VAN RU CREDIT CORPORATION ET AL,1.0
"VANDERBILT MORTGAGE AND FINANCE, INC.","VANDERBILT MORTAGE & FINANCE, INC.",1.0
"VANDERBILT MORTGAGE AND FINANCE, INC.","VANDERBILT MORTGAGE AND FINANCE, INC.",1.0
"VANDERBILT MORTGAGE AND FINANCE, INC.","VANDERBILT MORTGAGE AND FINANCE, INC. ET AL",1.0
"VERISIGN INC,","VERISIGN INC, ET AL",2.0
"VERISIGN INC,","VERISIGN, INC. ET AL",3.0
"VERIZON COMMUNICATIONS, INC.","VERIZON COMMUNICATIONS, INC.",1.0
"VERIZON COMMUNICATIONS, INC.","VERIZON COMMUNICATIONS, INC. ET AL",2.0
"VERIZON NEW JERSEY, INC.","VERIZON NEW JERSEY, INC. ET AL",1.0
VERIZON NEW YORK INC.,VERIZON NEW YORK INC.,1.0
"VERIZON WIRELESS SERVICES, LLC","VERIZON WIRELESS SERVICES, LLC",1.0
"VERIZON WIRELESS SERVICES, LLC","VERIZON WIRELESS SERVICES, LLC ET AL",2.0
VERIZON WIRELESS TELECOM INC,VERIZON WIRELESS TELECOM INC ET AL,1.0
VERIZON WIRELESS TELECOM INC,"VERIZON WIRELESS TELECOM, INC. ET AL",1.0
"VESUVIUS TECHNOLOGIES, LLC","VESUVIUS TECHNOLOGIES, LLC",1.0
VISA USA INC,VISA USA INC ET AL,1.0
"VMWARE, INC.","VMWARE, INC.",1.0
VONAGE AMERICA INC,VONAGE AMERICA INC ET AL,1.0
VONAGE AMERICA INC,"VONAGE AMERICA, INC. ET AL",1.0
"WACHOVIA BANK, N.A.","WACHOVIA BANK, N.A. ET AL",1.0
"WACHOVIA CORP.,","WACHOVIA CORP., ET AL.",1.0
WACHOVIA SECURITIES LLC,WACHOVIA SECURITIES LLC ET AL,1.0
WACKENHUT SERVICES INTERNATIONAL,WACKENHUT SERVICES INTERNATIONAL ET AL,1.0
"WAFFLE HOUSE, INC.","WAFFLE HOUSE, INC.",1.0
"WAL-MART STORES, INC","WAL-MART STORES, INC ET AL",1.0
"WALLACE FORD, LLC","WALLACE FORD, LLC",1.0
WALTER INVESTMENT MANAGEMENT CORP.,WALTER INVESTMENT MANAGEMENT CORP. ET AL,1.0
"WASHINGTON MUTUAL BANK, FA",WASHINGTON MUTUAL BANK ET AL,1.0
"WASHINGTON MUTUAL BANK, FA","WASHINGTON MUTUAL BANK, FA",1.0
"WATERSHED TREATMENT PROGRAMS, INC.","WATERSHED TREATMENT PROGRAMS, INC.",1.0
WATERSTONE MORTGAGE CORPORATION,WATERSTONE MORTGAGE CORPORATION,1.0
"WBY, INC.","WBY, INC.",1.0
WEBBANK,WEBBANK ET AL,1.0
WELLNESS INTERNATIONAL NETWORK LTD,WELLNESS INTERNATIONAL NETWORK LTD ET AL,1.0
"WELLS FARGO ADVISORS, LLC","WELLS FARGO ADVISORS, LLC ET AL",1.0
"WELLS FARGO AUTO FINANCE, INC.","WELLS FARGO AUTO FINANCE, INC.",1.0
WELLS FARGO BANK N.A.,WELLS FARGO BANK N.A.,2.0
WELLS FARGO BANK N.A.,"WELLS FARGO BANK, N.A.",3.0
WELLS FARGO BANK N.A.,"WELLS FARGO BANK, N.A. ET AL",1.0
WELLS FARGO BANK N.A.,"WELLS FARGO BANK, NATIONAL ASSOCIATION",2.0
"WELLS FARGO FINANCIAL, INC.","WELLS FARGO FINANCIAL, INC.",1.0
Western Asset Management,Western Asset Management,1.0
"WESTERN SKY FINANCIAL, LLC","WESTERN SKY FINANCIAL, LLC ET AL",1.0
"WESTERN UNION COMPANY, THE","WESTERN UNION COMPANY, THE",1.0
WESTWOOD COLLEGE,WESTWOOD COLLEGE,1.0
WICKED FASHIONS INC.,WICKED FASHIONS INC. ET AL,1.0
"WIDEOPEN WEST, FINANCE, LLC","WIDEOPEN WEST, FINANCE, LLC",1.0
"WILLIAM LEHMAN ISUZU, INC.","WILLIAM LEHMAN ISUZU, INC.",1.0
"WILLIS GROUP HOLDINGS, LTD.","WILLIS GROUP HOLDINGS, LTD. ET AL",1.0
"WING HOUSE I, INC.","WING HOUSE I, INC.",1.0
"WINGHOUSE OF DAYTONA BEACHSIDE, LLC","WINGHOUSE OF DAYTONA BEACHSIDE, LLC ET AL",2.0
"WISE MEDIA, LLC","WISE MEDIA, LLC ET AL",1.0
WOLPOFF & ABRAMSON,WOLPOFF & ABRAMSON,1.0
WORLD ACCEPTANCE CORPORATION,WORLD ACCEPTANCE CORPORATION ET AL,1.0
WORLD FINANCIAL NETWORK NATIONAL BANK,WORLD FINANCIAL NETWORK NATIONAL BANK,1.0
WORLD MORTGAGE COMPANY,WORLD MORTGAGE COMPANY ET AL,2.0
"WORLD SAVINGS, INC.","WORLD SAVINGS, INC.",1.0
"WORLDWIDE ASSET PURCHASING, LLC","WORLDWIDE ASSET PURCHASING, LLC ET AL",1.0
"WRP ENTERPRISES, INC.","WRP ENTERPRISES, INC. ET AL",1.0
"WURLD MEDIA, INC.","WURLD MEDIA, INC.",1.0
"WYNDHAM WORLDWIDE, INC.","WYNDHAM WORLDWIDE, INC. ET AL",1.0
XCEED FINANCIAL CREDIT UNION,XCEED FINANCIAL CREDIT UNION,1.0
"XE SERVICES, LLC","XE SERVICES, LLC ET AL",1.0
YANG MING MARINE TRANSPORT CORPORATION,YANG MING MARINE TRANSPORT CORPORATION ET AL,1.0
"Z GALLERIE, INC.","Z GALLERIE, INC.",1.0
ZIONS BANCORPORATION,ZIONS BANCORPORATION,1.0
"ZYNGA GAME NETWORK, INC.","ZYNGA GAME NETWORK, INC. ET AL",1.0
